rank,company,symbol,ytd_return
426,PPG Industries,,-14.32
427,Avery Dennison,,-14.34
428,DaVita,,-14.47
429,FedEx,,-14.51
430,Revvity,,-14.76
431,Verisk Analytics,,-14.91
432,AvalonBay Communities,,-14.96
433,HP Inc.,,-15.14
434,Corpay,,-15.21
435,Texas Pacific Land Corporation,,-15.24
436,Targa Resources,,-15.47
437,Becton Dickinson,,-15.58
438,Carrier Global,,-15.69
439,Fidelity National Information Services,,-15.84
440,Church & Dwight,,-16.01
441,Kraft Heinz,,-16.21
442,West Pharmaceutical Services,,-16.25
443,"UDR, Inc.",,-16.51
444,Halliburton,,-16.83
445,Occidental Petroleum,,-16.94
446,Weyerhaeuser,,-16.98
447,PG&E Corporation,,-17.09
448,Viatris,,-17.66
449,Fair Isaac,,-18.21
450,LKQ Corporation,,-18.38
451,Cooper Companies (The),,-18.47
452,Molson Coors Beverage Company,,-18.54
453,KKR,,-18.73
454,PayPal,,-18.90
455,Regeneron Pharmaceuticals,,-18.98
456,Old Dominion,,-20.11
457,IDEX Corporation,,-20.21
458,Baxter International,,-20.47
459,Comcast,,-21.12
460,Alexandria Real Estate Equities,,-21.24
461,Zebra Technologies,,-21.38
462,Smurfit WestRock,,-21.87
463,Copart,,-22.03
464,Global Payments,,-22.27
465,Akamai Technologies,,-22.46
466,Adobe Inc.,,-22.69
467,Bristol Myers Squibb,,-22.88
468,Erie Indemnity,,-23.14
469,International Flavors & Fragrances,,-23.40
470,General Mills,,-23.42
471,Hormel Foods,,-23.76
472,Brown–Forman,,-23.83
473,Salesforce,,-23.85
474,Apollo Global Management,,-24.20
475,Campbell Soup Company,,-26.07
476,Clorox,,-26.43
477,Charter Communications,,-26.48
478,Edison International,,-27.69
479,UnitedHealth Group,,-27.96
480,Kenvue,,-29.34
481,Chipotle Mexican Grill,,-30.88
482,United Parcel Service,,-31.05
483,Accenture,,-31.12
484,ONEOK,,-31.69
485,Molina Healthcare,,-32.02
486,Target Corporation,,-32.15
487,Eastman Chemical Company,,-32.44
488,GoDaddy,,-33.04
489,Conagra Brands,,-33.35
490,Moderna,,-34.38
491,Align Technology,,-35.23
492,Constellation Brands,,-36.17
493,EPAM Systems,,-37.95
494,LyondellBasell,,-38.70
495,FactSet,,-39.36
496,Fiserv,,-39.40
497,Centene Corporation,,-41.12
498,Dow Inc.,,-46.16
499,CarMax,,-47.42
500,Deckers Brands,,-50.25
501,Gartner,,-50.54
502,"The Trade Desk, Inc.",,-54.86
503,Lululemon Athletica,,-54.92
